time_s,est_x,est_y,est_z,gt_x,gt_y,gt_z,error_3d_m,rms_residual,n_meas
0.0565,1.3984,0.0288,0.1432,1.443,0.033,0.087,0.0719,0.0965,32
0.1565,1.3328,-0.0088,0.0441,1.443,0.033,0.087,0.1254,0.2421,23
0.2565,1.471,0.0999,0.0858,1.443,0.033,0.087,0.0725,0.0944,31
0.3565,1.3932,0.0679,0.1445,1.443,0.033,0.087,0.0837,0.0897,32
0.4565,1.4323,-0.033,0.2171,1.443,0.033,0.087,0.1463,0.0744,29
0.5565,1.4162,0.0512,0.1307,1.443,0.033,0.087,0.0544,0.0994,29
0.6565,1.4428,0.0842,0.3006,1.4505,0.0305,0.12,0.1886,0.0976,30
0.7565,1.3732,0.0015,0.1199,1.481,0.017,0.154,0.1141,0.0929,27
0.8565,1.3482,0.0611,0.2803,1.5145,-0.0005,0.16,0.2143,0.0948,28
0.9565,1.4236,0.0618,0.0817,1.537,-0.014,0.165,0.1598,0.0734,30
1.0565,1.4471,0.0785,0.0005,1.538,-0.016,0.166,0.2111,0.082,31
1.1565,1.5212,0.0392,0.2507,1.5195,-0.006,0.167,0.0951,0.0825,26
1.2565,1.5031,0.0144,0.2745,1.491,0.01,0.173,0.1023,0.076,35
1.3565,1.5133,0.0345,0.2724,1.4595,0.0285,0.1835,0.1041,0.0816,30
1.4565,1.53,0.0191,0.2007,1.436,0.0415,0.198,0.0967,0.0673,32
1.5565,1.2812,0.1386,0.4817,1.422,0.048,0.223,0.3082,0.6051,27
1.6565,1.5065,0.057,0.2458,1.414,0.05,0.252,0.093,0.0703,31
1.7565,1.4847,0.0535,0.2975,1.413,0.052,0.293,0.0719,0.0581,29
1.8565,1.4637,0.086,0.1809,1.412,0.055,0.341,0.1711,0.0697,33
1.9565,1.4026,0.0741,0.2713,1.411,0.058,0.402,0.1319,0.0735,32
2.0565,1.4246,0.0692,0.1796,1.41,0.06,0.47,0.2909,0.0787,32
2.1565,1.3918,-0.0016,0.1352,1.411,0.062,0.548,0.4181,0.1183,34
2.2565,1.3543,0.0698,0.3214,1.412,0.063,0.6285,0.3126,0.0591,28
2.3565,1.3666,0.1092,0.2801,1.413,0.063,0.7015,0.4264,0.0667,26
2.4565,1.372,0.087,0.3089,1.415,0.062,0.7835,0.4772,0.1106,32
2.5565,1.3632,0.0477,0.3791,1.415,0.061,0.871,0.4948,0.0691,29
2.6565,1.3557,0.0284,0.3632,1.415,0.058,0.966,0.6065,0.0781,37
2.7565,1.368,0.0303,0.3644,1.414,0.056,1.062,0.6996,0.0795,31
2.8565,1.3742,0.1033,0.4212,1.413,0.056,1.143,0.7244,0.0691,30
2.9565,1.4001,0.1591,0.4185,1.414,0.057,1.212,0.8001,0.0646,26
3.0565,1.3435,0.0566,0.5376,1.415,0.058,1.273,0.7388,0.1097,29
3.1565,1.3575,0.126,0.5402,1.416,0.058,1.328,0.7929,0.054,22
3.2565,1.3579,0.06,0.6649,1.416,0.057,1.374,0.7115,0.073,25
3.3565,1.3844,0.0952,0.6126,1.416,0.055,1.4205,0.8095,0.0692,32
