time_s,est_x,est_y,est_z,gt_x,gt_y,gt_z,error_3d_m,rms_residual,n_meas
0.053,1.2905,0.0418,0.1314,1.304,0.066,0.078,0.0601,0.0493,48
0.153,1.2751,0.0482,0.1278,1.304,0.066,0.078,0.0603,0.0536,48
0.253,1.2951,0.0392,0.1727,1.304,0.066,0.078,0.0988,0.0487,48
0.353,1.284,0.0327,0.1331,1.304,0.066,0.078,0.0674,0.0443,48
0.453,1.2881,0.0315,0.1696,1.304,0.066,0.078,0.0992,0.0425,48
0.553,1.2951,0.0221,0.1261,1.312,0.064,0.11,0.048,0.0552,45
0.653,1.3006,0.0358,0.1967,1.368,0.034,0.152,0.0809,0.0597,47
0.753,1.3047,0.0346,0.1126,1.396,0.004,0.156,0.1056,0.0526,48
0.853,1.2918,0.0483,0.1454,1.3685,0.0105,0.157,0.0862,0.0562,48
0.953,1.3168,0.0275,0.1326,1.314,0.039,0.167,0.0364,0.0515,45
1.053,1.2821,0.0274,0.1221,1.271,0.063,0.188,0.0757,0.049,49
1.153,1.298,0.0227,0.1814,1.252,0.071,0.226,0.0802,0.0693,45
1.253,1.2826,0.0655,0.1284,1.25,0.076,0.282,0.1574,0.0612,47
1.353,1.2698,0.0716,0.1115,1.253,0.084,0.358,0.2474,0.0603,45
1.453,1.3482,0.0288,0.2248,1.259,0.093,0.4535,0.2537,0.0534,46
1.553,1.369,0.0003,0.2761,1.267,0.096,0.56,0.3165,0.0532,43
1.653,1.3694,0.0023,0.2447,1.273,0.098,0.6785,0.4546,0.0516,46
1.753,1.3753,-0.017,0.2196,1.2775,0.1,0.8195,0.619,0.0554,48
1.853,1.3723,-0.0272,0.2511,1.281,0.099,0.955,0.7209,0.0555,47
1.953,1.388,-0.0282,0.2675,1.284,0.097,1.088,0.8365,0.0597,47
2.053,1.3606,-0.0182,0.339,1.288,0.09,1.212,0.8827,0.0468,48
2.153,1.3205,0.0222,0.2833,1.289,0.083,1.316,1.035,0.047,46
2.253,1.2997,0.0418,0.2788,1.287,0.077,1.402,1.1238,0.0421,48
2.353,1.2516,0.0761,0.1689,1.284,0.073,1.4705,1.302,0.057,48
2.453,1.2226,0.0699,0.1977,1.283,0.069,1.5215,1.3251,0.0675,48
2.553,1.1944,0.0898,0.2244,1.278,0.068,1.553,1.3314,0.045,48
2.653,1.2403,0.0561,0.306,1.275,0.0685,1.571,1.2655,0.0565,48
2.753,1.2045,0.0752,0.322,1.277,0.07,1.581,1.2611,0.0446,49
2.853,1.1956,0.0912,0.2865,1.28,0.068,1.581,1.2975,0.0567,46
2.953,1.2252,0.0821,0.3938,1.2795,0.069,1.576,1.1835,0.0538,48
3.053,1.2322,0.0822,0.4043,1.28,0.068,1.571,1.1677,0.0432,47
3.153,1.2205,0.0769,0.4509,1.283,0.067,1.57,1.1209,0.0538,48
3.253,1.2433,0.0687,0.4648,1.282,0.064,1.566,1.1019,0.0496,47
3.353,1.2542,0.079,0.5782,1.261,0.052,1.548,0.9702,0.0558,47
3.453,1.2386,0.0936,0.5572,1.233,0.065,1.5205,0.9638,0.0425,48
3.553,1.2543,0.086,0.6691,1.209,0.123,1.489,0.8219,0.0476,47
3.653,1.2347,0.0992,0.711,1.184,0.2,1.459,0.7565,0.0401,47
3.753,1.2674,0.0971,0.8076,1.1475,0.278,1.4285,0.6577,0.0414,48
