time_s,est_x,est_y,est_z,gt_x,gt_y,gt_z,error_3d_m,rms_residual,n_meas
0.0528,1.3629,0.0718,0.1522,1.398,0.018,0.087,0.0915,0.0849,48
0.1528,1.3774,0.052,0.155,1.398,0.018,0.087,0.0788,0.0797,47
0.2528,1.3717,0.0823,0.1306,1.398,0.018,0.087,0.082,0.0724,49
0.3528,1.3576,0.0658,0.1393,1.398,0.018,0.087,0.0816,0.0788,48
0.4528,1.3752,0.0577,0.163,1.398,0.018,0.087,0.0888,0.0837,47
0.5528,1.3549,0.0545,0.1453,1.398,0.018,0.087,0.0811,0.0916,48
0.6528,1.374,0.0799,0.1672,1.398,0.018,0.087,0.1042,0.0756,47
0.7528,1.3932,0.0752,0.1637,1.415,0.009,0.129,0.0778,0.0817,43
0.8528,1.362,0.0546,0.1513,1.4715,-0.0215,0.159,0.1336,0.0759,48
0.9528,1.3692,0.061,0.1318,1.497,-0.039,0.162,0.165,0.0844,47
1.0528,1.3681,0.0724,0.1207,1.476,-0.03,0.165,0.1552,0.0844,45
1.1528,1.3643,0.0645,0.1509,1.429,-0.004,0.173,0.0968,0.0766,47
1.2528,1.3642,0.057,0.1878,1.395,0.015,0.197,0.0529,0.0896,47
1.3528,1.3743,0.0815,0.1517,1.377,0.023,0.2375,0.1038,0.0776,48
1.4528,1.3598,0.0794,0.1516,1.37,0.027,0.297,0.1549,0.0837,45
1.5528,1.3651,0.085,0.1691,1.366,0.03,0.376,0.2141,0.0825,47
1.6528,1.3579,0.0443,0.1494,1.361,0.034,0.475,0.3258,0.1152,46
1.7528,1.3766,0.0593,0.1094,1.357,0.038,0.5875,0.4789,0.0795,46
1.8528,1.4244,0.0757,0.1732,1.355,0.038,0.7195,0.552,0.0889,48
1.9528,1.4732,0.0383,0.2617,1.357,0.034,0.852,0.6016,0.0719,47
2.0528,1.4855,-0.0058,0.2375,1.361,0.032,0.9885,0.7622,0.0786,48
2.1528,1.5036,0.0109,0.2431,1.364,0.031,1.117,0.8852,0.0705,48
2.2528,1.4966,0.0151,0.2355,1.367,0.03,1.232,1.005,0.0681,45
2.3528,1.4958,0.0089,0.2638,1.368,0.027,1.33,1.074,0.0671,47
2.4528,1.4818,-0.0102,0.2583,1.369,0.022,1.414,1.1617,0.0738,48
2.5528,1.4607,0.0217,0.3032,1.368,0.018,1.4785,1.179,0.0779,48
2.6528,1.4232,0.0281,0.2509,1.369,0.012,1.525,1.2753,0.0822,47
2.7528,1.3726,0.0359,0.1971,1.37,0.012,1.554,1.3571,0.09,49
2.8528,1.3413,0.0741,0.1165,1.37,0.016,1.57,1.455,0.0921,48
2.9528,1.3256,0.0753,0.1453,1.369,0.016,1.576,1.4326,0.0923,47
3.0528,1.3747,0.0998,0.2601,1.37,0.0135,1.576,1.3188,0.0691,48
3.1528,1.3409,0.064,0.2914,1.375,0.012,1.574,1.2841,0.0838,47
3.2528,1.3314,0.0766,0.2785,1.379,0.01,1.571,1.295,0.0712,46
3.3528,1.34,0.1005,0.3187,1.381,0.007,1.568,1.2534,0.0712,48
3.4528,1.3234,0.0554,0.3461,1.391,0.003,1.557,1.2139,0.0757,47
3.5528,1.3117,0.0976,0.3405,1.4325,0.0115,1.5235,1.1923,0.0735,46
3.6528,1.3369,0.0698,0.4262,1.47,0.043,1.48,1.0625,0.0663,47
3.7528,1.3325,0.0925,0.4879,1.487,0.0965,1.432,0.9567,0.0562,48
3.8528,1.3468,0.0808,0.5456,1.481,0.155,1.387,0.8553,0.059,47
3.9528,1.3288,0.0862,0.6005,1.4615,0.219,1.3415,0.7644,0.0599,48
4.0528,1.3209,0.0732,0.6723,1.4395,0.2815,1.2965,0.6686,0.0607,48
4.1528,1.3258,0.0768,0.7129,1.4115,0.3375,1.255,0.6076,0.0637,46
4.2528,1.3393,0.0855,0.779,1.3775,0.389,1.217,0.5342,0.0552,48
4.3528,1.3397,0.0725,0.8842,1.3415,0.4415,1.182,0.4742,0.0649,48
4.4528,1.3509,0.0645,0.9419,1.305,0.503,1.1535,0.489,0.0439,48
4.5528,1.347,0.0671,0.9917,1.2665,0.566,1.1295,0.5238,0.0512,48
