time_s,est_x,est_y,est_z,gt_x,gt_y,gt_z,error_3d_m,rms_residual,n_meas
0.0533,1.5085,0.0066,0.187,1.368,0.052,0.084,0.18,0.0362,26
0.1533,1.4752,0.0711,0.1613,1.368,0.052,0.084,0.1335,0.1368,23
0.2533,1.2361,0.1671,0.0825,1.368,0.052,0.084,0.1751,0.3207,24
0.3533,1.4224,0.0699,0.2613,1.368,0.052,0.084,0.1863,0.0799,31
0.4533,1.447,0.0448,0.3506,1.368,0.052,0.084,0.2781,0.0978,26
0.5533,1.4379,0.0538,0.3068,1.368,0.052,0.084,0.2335,0.0632,28
0.6533,1.4963,0.0743,0.3047,1.368,0.052,0.084,0.2562,0.0757,22
0.7533,1.2325,0.234,0.154,1.368,0.052,0.084,0.2375,0.3402,23
0.8533,1.4327,0.018,0.1546,1.368,0.052,0.084,0.1016,0.047,23
0.9533,1.466,0.0737,0.3413,1.368,0.052,0.084,0.2762,0.0525,29
1.0533,1.3934,0.1962,0.2998,1.368,0.052,0.084,0.2608,0.1644,30
1.1533,1.4826,0.0298,0.1834,1.368,0.052,0.084,0.1534,0.1119,17
1.2533,1.5239,0.0382,0.1555,1.368,0.052,0.084,0.1721,0.0959,27
1.3533,1.4973,0.0978,0.3313,1.368,0.052,0.084,0.2828,0.0524,20
1.4533,1.4368,0.0684,0.3038,1.368,0.052,0.084,0.2309,0.0558,26
1.5533,1.5369,0.1027,0.3389,1.368,0.052,0.084,0.3099,0.161,20
1.6533,1.4898,0.0996,0.2523,1.368,0.052,0.084,0.2131,0.0671,22
1.7533,1.4914,0.13,0.402,1.368,0.052,0.084,0.3499,0.105,17
1.8533,1.4131,0.0774,0.3296,1.368,0.052,0.084,0.251,0.0789,29
1.9533,1.4964,0.0682,0.3722,1.368,0.052,0.084,0.3159,0.0615,22
2.0533,1.5171,0.0634,0.2817,1.368,0.052,0.084,0.2479,0.0596,26
2.1533,1.4445,0.095,0.2322,1.368,0.052,0.084,0.1723,0.1404,27
2.2533,1.4573,0.0309,0.1809,1.368,0.052,0.084,0.1335,0.1482,20
2.3533,1.4535,0.0418,0.3407,1.368,0.052,0.084,0.2708,0.0577,26
2.4533,1.4674,0.0686,0.2638,1.368,0.052,0.084,0.2061,0.0598,22
2.5533,1.4907,0.0918,0.2489,1.368,0.052,0.084,0.2094,0.0565,28
2.6533,1.4594,0.0838,0.2902,1.368,0.052,0.084,0.2277,0.0564,24
2.7533,1.4601,0.0406,0.32,1.368,0.052,0.084,0.2536,0.0731,25
2.8533,1.4549,0.0188,0.4038,1.368,0.052,0.084,0.333,0.1858,15
2.9533,1.4393,0.1046,0.2619,1.368,0.052,0.084,0.1988,0.0567,23
3.0533,1.3826,0.0633,0.2432,1.368,0.052,0.084,0.1603,0.0456,23
3.1533,1.4422,-0.0182,0.2641,1.368,0.052,0.084,0.207,0.1308,26
3.2533,1.4218,0.0476,0.1577,1.368,0.052,0.084,0.0914,0.055,24
3.3533,1.4302,0.0745,0.2714,1.368,0.052,0.084,0.1987,0.0481,21
3.4533,1.479,0.0415,0.238,1.368,0.052,0.084,0.1901,0.0585,25
3.5533,1.4586,0.0808,0.3148,1.368,0.052,0.084,0.2496,0.0633,21
3.6533,1.4538,0.0841,0.2755,1.368,0.052,0.084,0.2122,0.0509,30
3.7533,1.4711,0.0544,0.1988,1.368,0.052,0.084,0.1543,0.1377,31
3.8533,1.472,0.0801,0.2911,1.368,0.052,0.084,0.2335,0.0768,29
3.9533,1.4779,0.0779,0.1548,1.368,0.052,0.084,0.1333,0.0754,18
4.0533,1.4175,0.0643,0.3376,1.368,0.052,0.084,0.2587,0.0528,27
4.1533,1.4709,0.0496,0.5123,1.368,0.052,0.084,0.4405,0.1581,23
4.2533,1.4739,0.093,0.2559,1.369,0.051,0.097,0.195,0.0649,29
4.3533,1.4962,0.0358,0.2562,1.392,0.04,0.141,0.1554,0.103,25
4.4533,1.4386,0.0603,0.2741,1.423,0.023,0.159,0.122,0.0445,27
4.5533,1.478,0.0777,0.4261,1.448,0.0045,0.158,0.2795,0.1435,26
4.6533,1.4362,0.0979,0.3875,1.455,-0.005,0.16,0.2504,0.1624,21
4.7533,1.4037,0.1565,0.3137,1.4505,-0.01,0.159,0.232,0.1689,20
4.8533,1.4911,0.0726,0.2514,1.4345,-0.0085,0.158,0.136,0.0638,24
4.9533,1.3768,0.1416,0.2633,1.409,0.0,0.162,0.1771,0.1452,31
5.0533,1.452,0.0424,0.3085,1.388,0.014,0.166,0.1587,0.0467,17
5.1533,1.3724,0.1006,0.2977,1.374,0.026,0.173,0.1453,0.0811,21
5.2533,1.3989,0.1309,0.3491,1.3605,0.038,0.1825,0.1946,0.1569,24
5.3533,1.5136,0.0278,-0.3344,1.35,0.0475,0.201,0.5601,0.5209,28
5.4533,1.4797,0.0431,0.3138,1.3445,0.055,0.2225,0.1636,0.0467,20
5.5533,1.5073,-0.0071,0.2348,1.34,0.061,0.243,0.1808,0.0759,19
5.6533,1.5289,0.0099,0.2314,1.338,0.065,0.27,0.2024,0.0652,24
5.7533,1.5212,0.0272,0.3528,1.336,0.069,0.306,0.1955,0.0788,25
5.8533,1.5523,0.0394,0.3629,1.335,0.074,0.35,0.2204,0.0735,27
5.9533,1.521,0.0233,0.3401,1.335,0.076,0.401,0.2027,0.1253,26
6.0533,1.4945,0.0636,0.4581,1.335,0.078,0.456,0.1602,0.087,23
6.1533,1.4432,0.0678,0.2667,1.335,0.079,0.512,0.2684,0.0762,25
6.2533,1.4223,0.1409,0.212,1.335,0.079,0.57,0.3737,0.0646,20
6.3533,1.1363,0.1792,0.5934,1.335,0.079,0.623,0.2245,0.3221,21
6.4533,1.3024,0.1166,0.2124,1.336,0.078,0.6895,0.4799,0.1062,28
6.5533,1.4121,0.0726,0.4913,1.338,0.076,0.762,0.2807,0.0626,25
6.6533,1.3645,0.1016,0.3102,1.3405,0.074,0.8305,0.5216,0.0955,24
6.7533,1.3653,0.1067,0.2138,1.343,0.073,0.902,0.6894,0.1419,23
6.8533,1.3803,0.1007,0.5473,1.344,0.071,0.9655,0.4208,0.093,22
6.9533,1.358,0.1371,0.4088,1.344,0.07,1.031,0.626,0.0555,25
7.0533,1.3669,0.1486,0.5015,1.343,0.069,1.0975,0.6018,0.0559,24
7.1533,1.3971,0.0825,0.4819,1.342,0.068,1.1545,0.675,0.0488,20
7.2533,1.3759,0.0817,0.5733,1.34,0.066,1.205,0.6329,0.07,19
7.3533,1.3967,0.107,0.6458,1.337,0.065,1.254,0.6125,0.0664,23
7.4533,1.4133,0.0742,0.6908,1.334,0.062,1.308,0.6224,0.0677,28
7.5533,1.4035,0.0927,0.7602,1.335,0.061,1.362,0.6065,0.077,28
7.6533,1.4379,0.1063,0.9515,1.337,0.062,1.404,0.4657,0.0933,19
7.7533,1.3052,0.0971,0.9792,1.341,0.0635,1.4405,0.4639,0.0749,22
7.8533,1.3769,0.0837,0.8891,1.344,0.065,1.4675,0.5796,0.0599,18
7.9533,1.3917,0.0216,0.9262,1.346,0.065,1.4885,0.5658,0.1332,18
8.0533,1.3877,0.0656,1.1196,1.347,0.065,1.507,0.3895,0.0906,19
8.1533,1.4494,0.0749,1.0857,1.348,0.064,1.53,0.4558,0.1139,29
8.2533,1.3987,0.0918,1.1777,1.349,0.063,1.5475,0.3742,0.0511,24
8.3533,1.4482,0.115,1.3188,1.348,0.06,1.557,0.2642,0.1069,21
8.4533,1.4001,-0.0082,1.4072,1.348,0.054,1.566,0.1784,0.0648,26
8.5533,1.3978,0.0592,1.4791,1.3485,0.048,1.572,0.1057,0.1179,24
8.6533,0.8926,0.2246,0.8061,1.35,0.044,1.576,0.9135,0.2876,22
8.7533,1.4449,-0.0085,1.6154,1.352,0.043,1.578,0.1126,0.1511,26
8.8533,1.4144,0.0849,1.699,1.352,0.043,1.578,0.1424,0.1117,25
8.9533,1.2469,0.1438,1.2533,1.352,0.045,1.578,0.3553,0.155,18
9.0533,1.3768,0.0467,1.336,1.352,0.046,1.5785,0.2438,0.1887,22
9.1533,1.3991,0.0456,1.6843,1.352,0.048,1.576,0.1181,0.0476,19
9.2533,1.4575,0.1137,1.6962,1.352,0.05,1.575,0.1729,0.0614,23
9.3533,1.3583,0.1044,1.739,1.353,0.052,1.573,0.1741,0.1326,22
9.4533,1.4291,0.084,1.8001,1.356,0.053,1.571,0.2424,0.0607,27
9.5533,1.3866,0.089,1.8105,1.36,0.053,1.57,0.2446,0.0705,24
9.6533,1.3742,-0.0332,1.5867,1.363,0.054,1.5675,0.09,0.1862,26
9.7533,1.2227,-0.0189,1.6103,1.366,0.053,1.565,0.1666,0.2237,22
9.8533,1.2251,0.1504,1.4906,1.367,0.054,1.562,0.1858,0.1862,23
9.9533,1.1867,-0.027,1.5457,1.368,0.055,1.561,0.1996,0.2169,19
10.0533,1.3394,-0.1072,1.649,1.369,0.055,1.56,0.1873,0.1392,24
10.1533,1.423,0.0089,2.1367,1.37,0.057,1.558,0.5831,0.147,26
10.2533,1.3828,-0.0061,1.8788,1.371,0.059,1.556,0.3295,0.1557,25
10.3533,1.3865,0.012,1.8845,1.372,0.062,1.553,0.3356,0.1472,26
10.4533,1.3728,0.0085,2.1466,1.373,0.063,1.551,0.5981,0.2014,23
10.5533,1.3265,-0.0308,2.2309,1.373,0.063,1.549,0.6899,0.1937,18
10.6533,1.3432,0.0058,1.8363,1.374,0.062,1.547,0.2963,0.1869,21
10.7533,1.0544,-0.1268,1.8403,1.375,0.061,1.544,0.4752,0.1458,26
10.8533,1.0386,-0.0917,1.8407,1.374,0.061,1.543,0.4738,0.1738,20
10.9533,1.3526,-0.0215,1.8593,1.377,0.06,1.538,0.3324,0.2535,27
11.0533,1.3451,-0.0663,1.686,1.393,0.048,1.5275,0.2012,0.1533,22
11.1533,1.313,0.0325,1.7603,1.412,0.025,1.518,0.2619,0.0877,19
11.2533,1.4132,0.0296,1.6462,1.4345,-0.0065,1.505,0.1473,0.1767,24
11.3533,1.3424,-0.3162,2.206,1.454,-0.049,1.491,0.7714,0.2205,19
11.4533,1.3206,-0.0257,1.8127,1.465,-0.094,1.4765,0.3722,0.2025,20
11.5533,1.3485,0.0292,1.7898,1.47,-0.145,1.461,0.3914,0.1376,19
11.6533,1.3278,-0.0425,1.8324,1.469,-0.2105,1.441,0.4487,0.1453,28
11.7533,1.1502,-0.121,2.1429,1.461,-0.281,1.422,0.8012,0.2211,19
11.8533,1.4586,0.0768,1.9662,1.451,-0.339,1.404,0.6993,0.0494,21
11.9533,1.6731,0.1793,2.302,1.437,-0.406,1.3845,1.1136,0.2792,24
12.0533,1.337,-0.0323,1.5239,1.42,-0.476,1.36,0.4803,0.1629,27
12.1533,1.4146,0.015,1.6868,1.4035,-0.536,1.3375,0.6525,0.1894,20
12.2533,1.3436,-0.0416,1.8907,1.387,-0.5885,1.317,0.7938,0.1959,24
12.3533,1.446,0.0807,1.9257,1.37,-0.636,1.297,0.9564,0.049,19
12.4533,1.3465,-0.0318,1.5799,1.3535,-0.6805,1.2795,0.7149,0.1852,24
12.5533,1.3142,-0.0931,1.4562,1.335,-0.731,1.26,0.6677,0.1569,23
12.6533,1.3434,-0.0415,1.5145,1.3175,-0.773,1.2435,0.7805,0.2089,18
12.7533,1.3501,-0.0657,1.6045,1.3035,-0.806,1.2305,0.8308,0.1625,14
12.8533,1.3448,0.0298,1.704,1.2855,-0.846,1.2145,1.0051,0.1964,22
12.9533,1.4408,0.02,1.7309,1.2615,-0.8935,1.1945,1.0744,0.1317,26
13.0533,1.3582,-0.0596,1.6096,1.234,-0.94,1.176,0.9892,0.2319,23
13.1533,1.3359,0.0115,1.7666,1.206,-0.982,1.16,1.1713,0.2,24
13.2533,1.4194,0.1143,1.93,1.1755,-1.022,1.1445,1.4027,0.0774,24
13.3533,1.5592,0.077,2.017,1.1445,-1.0605,1.13,1.5009,0.0892,22
13.4533,1.6355,-0.0427,1.861,1.1105,-1.1,1.114,1.3969,0.0918,24
13.5533,1.5849,-0.1271,1.8533,1.071,-1.141,1.099,1.3642,0.0762,29
13.6533,1.4338,-0.1018,1.4325,1.0325,-1.178,1.084,1.2003,0.1725,22
13.7533,1.2783,-0.2847,1.1226,0.998,-1.21,1.073,0.9681,0.2331,23
13.8533,1.3343,-0.1924,1.5297,0.961,-1.241,1.063,1.2069,0.3188,19
13.9533,1.332,-0.449,1.4368,0.927,-1.2675,1.053,0.9906,0.2521,24
14.0533,1.3786,-0.4553,1.4569,0.889,-1.2955,1.043,1.0568,0.1988,22
14.1533,1.3985,-0.5708,1.5423,0.851,-1.32,1.034,1.0581,0.2053,23
14.2533,1.4078,-0.5737,1.7018,0.808,-1.3425,1.0235,1.1878,0.1014,24
14.3533,1.4278,-0.6379,1.6583,0.764,-1.361,1.016,1.1731,0.1039,23
14.4533,1.2155,-0.6953,1.3591,0.718,-1.378,1.01,0.9141,0.1832,25
14.5533,1.4037,-0.774,1.5223,0.669,-1.3925,1.003,1.0918,0.1551,24
14.6533,1.4361,-0.7126,1.6605,0.62,-1.4085,0.998,1.2606,0.134,26
14.7533,1.3076,-0.7045,1.7279,0.575,-1.42,0.995,1.2593,0.2293,19
14.8533,1.3748,-0.7678,1.3791,0.5305,-1.429,0.991,1.1405,0.1465,24
14.9533,1.2065,-0.8403,1.1161,0.482,-1.433,0.988,0.9448,0.2674,22
15.0533,1.3615,-0.8624,1.3402,0.435,-1.436,0.986,1.1458,0.0803,22
15.1533,1.212,-0.9077,1.054,0.387,-1.439,0.984,0.9838,0.1174,23
15.2533,1.2896,-0.9697,1.5182,0.342,-1.441,0.984,1.1855,0.0728,18
15.3533,1.1973,-1.0283,1.3156,0.2955,-1.44,0.984,1.0453,0.0907,24
15.4533,1.143,-1.126,1.3369,0.245,-1.4365,0.987,1.0126,0.1365,22
15.5533,1.1158,-1.0939,1.2362,0.189,-1.43,0.989,1.0164,0.0831,30
15.6533,0.8506,-0.9689,1.5748,0.13,-1.4205,0.991,1.0315,0.3185,26
15.7533,1.1014,-1.2041,1.3103,0.078,-1.408,0.993,1.0907,0.1019,23
15.8533,0.873,-0.9537,1.8523,0.0245,-1.393,0.9965,1.2827,0.2856,26
15.9533,0.9677,-1.0907,1.4683,-0.028,-1.375,1.004,1.1348,0.1745,23
16.0533,1.0002,-1.1893,1.3771,-0.083,-1.3545,1.01,1.1556,0.0854,26
16.1533,1.0119,-1.2285,1.3186,-0.1325,-1.336,1.0165,1.1885,0.0822,16
16.2533,0.9157,-1.2584,1.1193,-0.177,-1.318,1.023,1.0985,0.1407,21
16.3533,0.8593,-1.3597,1.0557,-0.23,-1.2955,1.032,1.0915,0.1253,20
16.4533,0.9241,-1.2754,1.1975,-0.293,-1.2645,1.0445,1.2267,0.0727,28
16.5533,0.8993,-1.3221,1.3326,-0.36,-1.226,1.059,1.2923,0.1118,27
16.6533,0.8085,-1.3544,1.1261,-0.4135,-1.1905,1.071,1.2342,0.1088,18
16.7533,0.7853,-1.4322,1.149,-0.4715,-1.149,1.0825,1.29,0.1225,32
16.8533,0.5801,-1.3287,0.9149,-0.531,-1.104,1.099,1.1484,0.1811,23
16.9533,0.6944,-1.4109,1.2671,-0.579,-1.065,1.113,1.3285,0.0675,24
17.0533,0.6026,-1.5586,1.0398,-0.633,-1.0185,1.1275,1.3514,0.162,30
17.1533,0.5032,-1.5237,0.8625,-0.681,-0.973,1.1435,1.3359,0.2004,22
17.2533,0.4367,-1.4875,1.0496,-0.72,-0.9345,1.158,1.2867,0.1544,22
17.3533,0.4841,-1.4765,1.1325,-0.758,-0.897,1.174,1.3712,0.0799,21
17.4533,0.4441,-1.4517,1.0425,-0.799,-0.856,1.19,1.3864,0.1038,25
17.5533,0.3618,-1.3848,1.4164,-0.84,-0.812,1.206,1.3478,0.1807,21
17.6533,0.2254,-1.3204,0.9756,-0.877,-0.773,1.2225,1.2553,0.1376,20
17.7533,0.3139,-1.4731,0.9648,-0.915,-0.731,1.238,1.4613,0.22,23
17.8533,0.3426,-1.4717,1.1849,-0.9535,-0.686,1.2555,1.5172,0.1846,22
17.9533,0.0973,-1.3812,1.059,-0.991,-0.6415,1.2745,1.3334,0.206,22
18.0533,0.2689,-1.4696,1.3887,-1.023,-0.601,1.291,1.5598,0.0724,15
18.1533,0.2262,-1.3994,1.2809,-1.058,-0.557,1.308,1.5361,0.0768,27
18.2533,0.1623,-1.4204,1.2567,-1.098,-0.505,1.329,1.5594,0.0694,21
18.3533,0.0951,-1.3892,1.2991,-1.135,-0.453,1.349,1.5466,0.1269,27
18.4533,0.1366,-1.4765,1.1461,-1.177,-0.393,1.3725,1.7178,0.1967,28
18.5533,0.028,-1.3437,1.2097,-1.211,-0.34,1.392,1.6049,0.0591,19
18.6533,0.0101,-1.3935,1.3112,-1.243,-0.2835,1.4145,1.6772,0.0635,30
18.7533,0.066,-1.2997,1.4419,-1.272,-0.226,1.437,1.7156,0.1741,19
18.8533,-0.1002,-1.3598,1.3399,-1.2975,-0.1725,1.4585,1.6904,0.0656,28
18.9533,-0.2013,-1.2903,1.1221,-1.324,-0.114,1.482,1.6654,0.0831,25
19.0533,-0.2441,-1.2553,1.1516,-1.346,-0.064,1.503,1.6604,0.14,23
19.1533,-0.3047,-1.1593,1.3823,-1.364,-0.022,1.522,1.5605,0.1885,19
19.2533,-0.3335,-1.2225,1.3521,-1.38,0.019,1.541,1.6347,0.1458,21
19.3533,-0.3853,-1.1914,1.0298,-1.3955,0.059,1.5595,1.6925,0.1615,20
19.4533,-1.0089,-1.1166,2.0333,-1.407,0.093,1.575,1.3534,0.6253,13
19.5533,-0.4656,-1.0674,1.0238,-1.419,0.122,1.589,1.6257,0.1425,19
19.6533,-0.5587,-1.1814,1.0896,-1.434,0.164,1.608,1.6867,0.0989,25
19.7533,-0.7481,-1.0693,0.9515,-1.4525,0.2115,1.6295,1.6113,0.1493,26
19.8533,-0.6384,-1.068,1.1836,-1.4685,0.259,1.6515,1.6337,0.1233,26
19.9533,-0.9019,-0.8569,1.0708,-1.481,0.299,1.672,1.4258,0.3798,19
20.0533,-0.6538,-1.0293,1.5001,-1.4915,0.338,1.6915,1.6149,0.1237,26
20.1533,-0.6005,-0.9599,1.4191,-1.503,0.383,1.7135,1.6446,0.1145,26
20.2533,-1.1791,-0.8064,1.1374,-1.511,0.427,1.735,1.4102,0.3579,26
20.3533,-0.7694,-0.8662,1.301,-1.516,0.462,1.752,1.589,0.1733,17
20.4533,-1.1703,-0.9135,1.172,-1.5175,0.4945,1.7665,1.5673,0.2209,24
20.5533,-0.9497,-0.8392,1.2307,-1.517,0.532,1.784,1.5837,0.1239,25
20.6533,-1.1425,-0.8142,1.1828,-1.5125,0.5685,1.8035,1.5602,0.1832,26
20.7533,-1.2187,-0.6928,1.4021,-1.506,0.601,1.8215,1.39,0.1209,22
20.8533,-1.063,-0.637,1.2543,-1.5,0.63,1.836,1.461,0.2378,21
20.9533,-1.1345,-0.6205,1.4973,-1.492,0.656,1.851,1.372,0.2276,22
21.0533,-1.2751,-0.6653,1.0707,-1.481,0.684,1.869,1.5813,0.2021,25
21.1533,-1.3417,-0.5948,1.1457,-1.471,0.712,1.885,1.507,0.1677,23
21.2533,-1.3065,-0.6035,1.0703,-1.46,0.737,1.899,1.5834,0.1548,21
21.3533,-1.1923,-0.5066,1.5785,-1.451,0.763,1.911,1.3377,0.0802,23
21.4533,-1.1117,-0.4288,1.6142,-1.44,0.787,1.923,1.2967,0.0567,21
21.5533,-1.166,-0.3967,1.6383,-1.4265,0.8135,1.9355,1.2731,0.0662,26
21.6533,-1.3884,-0.2402,1.5521,-1.409,0.841,1.9495,1.1521,0.2045,24
21.7533,-1.2162,-0.2753,1.6557,-1.39,0.862,1.962,1.1906,0.0672,23
