time_s,est_x,est_y,est_z,gt_x,gt_y,gt_z,error_3d_m,rms_residual,n_meas
0.0571,1.4181,0.0426,0.2362,1.339,0.038,0.084,0.1716,0.0753,24
0.1571,1.4146,0.0383,0.1804,1.339,0.038,0.084,0.1225,0.1183,27
0.2571,1.4265,0.036,0.2799,1.339,0.038,0.084,0.2146,0.0375,22
0.3571,1.4509,0.0504,0.2807,1.339,0.038,0.084,0.2266,0.0602,27
0.4571,1.3229,0.0554,0.3957,1.339,0.038,0.084,0.3126,0.2649,26
0.5571,1.4066,0.034,0.368,1.339,0.038,0.084,0.292,0.0435,23
0.6571,1.4942,0.0094,0.5244,1.339,0.038,0.084,0.4678,0.157,18
0.7571,1.4184,0.0416,0.3994,1.339,0.038,0.084,0.3253,0.0884,23
0.8571,1.4235,0.0853,0.3473,1.339,0.038,0.084,0.2806,0.0417,28
0.9571,1.541,0.0959,0.5602,1.339,0.038,0.084,0.5205,0.2113,25
1.0571,1.4983,0.091,0.3518,1.339,0.038,0.084,0.3161,0.0383,22
1.1571,1.4379,0.066,0.2859,1.339,0.038,0.084,0.2266,0.0472,34
1.2571,1.3944,0.038,0.1861,1.339,0.038,0.084,0.1162,0.0533,28
1.3571,1.4206,-0.0005,0.2751,1.339,0.038,0.084,0.2113,0.0565,25
1.4571,1.4632,0.0713,0.3843,1.339,0.038,0.084,0.3266,0.0494,23
1.5571,1.4875,0.0104,0.2115,1.339,0.038,0.084,0.1977,0.0532,22
1.6571,1.4298,0.0275,0.4558,1.339,0.038,0.084,0.3829,0.0819,25
1.7571,1.3919,0.0772,0.291,1.339,0.038,0.084,0.2172,0.0452,23
1.8571,1.4644,0.0132,0.2966,1.339,0.038,0.084,0.2481,0.0823,26
1.9571,1.47,0.0674,0.3763,1.339,0.038,0.084,0.3217,0.0601,17
2.0571,1.4081,0.0709,0.2547,1.339,0.038,0.084,0.1871,0.0664,20
2.1571,1.4444,0.0489,0.3708,1.339,0.038,0.084,0.3057,0.0476,21
2.2571,1.4375,0.0384,0.3564,1.339,0.038,0.084,0.2897,0.0618,25
2.3571,1.4377,0.0426,0.3901,1.339,0.038,0.0865,0.3193,0.0987,26
2.4571,1.469,0.0456,0.2188,1.3545,0.0285,0.13,0.1459,0.0771,32
2.5571,1.4278,0.023,0.234,1.3865,0.01,0.158,0.0875,0.0657,24
2.6571,1.3998,0.0817,0.2225,1.413,-0.008,0.159,0.1107,0.0525,27
2.7571,1.41,0.132,0.3107,1.428,-0.026,0.161,0.2184,0.1129,29
2.8571,1.443,0.0333,0.378,1.425,-0.033,0.16,0.2286,0.0825,26
2.9571,1.3618,0.0364,0.1397,1.41,-0.032,0.162,0.0866,0.1331,23
3.0571,1.4311,0.0175,0.2946,1.391,-0.026,0.166,0.1416,0.0498,21
3.1571,1.4825,0.0519,0.3087,1.3665,-0.0165,0.17,0.1934,0.0461,28
3.2571,1.5167,0.0091,0.2594,1.342,-0.005,0.179,0.1928,0.0984,21
3.3571,1.5079,-0.0231,0.3712,1.326,0.003,0.191,0.2574,0.0475,25
3.4571,1.5445,0.0178,0.3039,1.315,0.01,0.2095,0.2483,0.0526,22
3.5571,1.5158,0.0164,0.2936,1.3095,0.017,0.2315,0.2155,0.084,24
3.6571,1.4598,0.0356,0.3075,1.307,0.025,0.256,0.1616,0.1187,23
3.7571,1.44,-0.0031,0.2947,1.307,0.034,0.285,0.1384,0.0579,25
3.8571,1.389,0.0157,0.2398,1.308,0.043,0.325,0.1207,0.0937,27
3.9571,1.3672,0.0827,0.304,1.309,0.051,0.374,0.0964,0.0775,25
4.0571,1.3721,0.0671,0.1511,1.31,0.056,0.421,0.2772,0.0976,21
4.1571,1.358,-0.0235,0.2124,1.311,0.06,0.467,0.272,0.1112,21
4.2571,1.3596,0.0357,0.3555,1.311,0.065,0.525,0.1787,0.0632,27
4.3571,1.4038,0.1075,0.5866,1.3135,0.068,0.638,0.1111,0.0485,26
4.4571,1.3351,0.0819,0.2845,1.3165,0.069,0.7045,0.4206,0.0897,26
4.5571,1.3608,0.0398,0.6072,1.3205,0.069,0.7675,0.1679,0.0604,22
4.6571,1.368,0.0188,0.4265,1.325,0.07,0.8355,0.4144,0.1047,26
4.7571,1.335,0.0779,0.5401,1.328,0.071,0.898,0.358,0.0543,19
4.8571,1.3009,0.178,0.5567,1.33,0.071,0.962,0.4202,0.136,27
4.9571,1.3916,0.08,0.7075,1.332,0.07,1.032,0.33,0.0629,22
5.0571,1.3892,0.0573,0.6055,1.332,0.068,1.0955,0.4935,0.0374,24
5.1571,1.3865,0.0658,0.682,1.33,0.066,1.159,0.4803,0.0736,23
5.2571,1.3808,0.0279,0.7828,1.328,0.063,1.222,0.4438,0.0636,25
5.3571,1.3531,0.0659,0.919,1.326,0.06,1.276,0.3581,0.0483,22
5.4571,1.3493,0.073,0.943,1.324,0.057,1.321,0.3792,0.0473,20
5.5571,1.3263,0.0275,0.7509,1.323,0.054,1.366,0.6157,0.1241,27
5.6571,1.108,0.0956,0.4716,1.322,0.051,1.408,0.9616,0.1958,23
5.7571,1.5201,-0.1272,0.4886,1.322,0.048,1.4395,0.987,0.543,20
5.8571,1.4427,0.0702,1.2348,1.322,0.045,1.469,0.2647,0.1644,25
5.9571,1.4357,0.0808,1.0588,1.323,0.042,1.499,0.456,0.1353,27
6.0571,1.4294,0.0321,1.2699,1.324,0.04,1.5215,0.2729,0.0677,24
6.1571,1.4028,0.0329,1.1791,1.323,0.039,1.539,0.3687,0.1074,25
6.2571,1.1277,-0.1055,1.2319,1.323,0.039,1.554,0.4034,0.2592,29
6.3571,1.1962,-0.0339,1.2593,1.322,0.04,1.564,0.3378,0.1742,26
6.4571,1.2594,0.0834,1.3857,1.32,0.041,1.57,0.1986,0.2702,24
6.5571,1.3263,0.0156,1.4854,1.319,0.04,1.575,0.0931,0.1195,21
6.6571,1.4075,0.0268,1.5483,1.319,0.039,1.578,0.0942,0.1899,22
6.7571,1.4927,0.1263,1.9488,1.319,0.037,1.579,0.4182,0.1383,24
6.8571,1.4118,0.0699,1.8022,1.318,0.035,1.577,0.2465,0.0576,25
6.9571,1.3855,0.0712,1.7327,1.318,0.033,1.576,0.1748,0.0634,31
7.0571,1.4141,0.0794,1.8006,1.32,0.031,1.574,0.2501,0.0603,27
7.1571,1.4256,0.0678,1.8872,1.323,0.031,1.572,0.3336,0.0529,24
7.2571,1.4127,0.0647,1.8497,1.324,0.031,1.569,0.2963,0.0353,24
7.3571,1.365,0.0584,1.8036,1.324,0.031,1.567,0.2417,0.0746,22
7.4571,1.0955,-0.0963,1.633,1.322,0.03,1.566,0.2678,0.1981,25
7.5571,1.1921,0.0165,1.5263,1.321,0.028,1.565,0.1351,0.1691,28
7.6571,1.2073,0.0005,1.786,1.319,0.027,1.562,0.2517,0.2793,19
7.7571,1.2616,-0.0197,1.748,1.319,0.027,1.56,0.2021,0.1582,23
7.8571,1.2676,-0.0871,2.0193,1.324,0.028,1.557,0.4797,0.2171,29
7.9571,1.2995,-0.0459,2.1485,1.344,0.028,1.546,0.6086,0.181,25
