time_s,est_x,est_y,est_z,gt_x,gt_y,gt_z,error_3d_m,rms_residual,n_meas
0.0534,1.426,0.1105,0.1458,1.439,0.081,0.086,0.0679,0.0835,27
0.1534,1.4202,0.1041,0.0418,1.439,0.081,0.086,0.0533,0.0749,30
0.2534,1.3788,0.1737,0.0317,1.439,0.081,0.086,0.1232,0.088,26
0.3534,1.3621,0.1066,0.1918,1.439,0.081,0.086,0.1333,0.0727,30
0.4534,1.4132,0.1923,0.2396,1.439,0.081,0.086,0.1915,0.1285,25
0.5534,1.4523,0.1108,0.1645,1.439,0.081,0.086,0.085,0.1008,32
0.6534,1.4287,0.0786,0.0285,1.439,0.081,0.086,0.0585,0.0892,31
0.7534,1.3525,0.1772,0.2899,1.439,0.081,0.086,0.2415,0.172,27
0.8534,1.4266,0.1117,0.1629,1.439,0.081,0.086,0.0837,0.0845,31
0.9534,1.3986,0.0914,0.0792,1.439,0.081,0.086,0.0422,0.1168,24
1.0534,1.4328,0.0667,0.1089,1.439,0.081,0.086,0.0277,0.0861,24
1.1534,1.4169,0.1825,0.1796,1.439,0.081,0.086,0.1398,0.1437,26
1.2534,1.4191,0.1395,0.0406,1.45,0.079,0.113,0.0993,0.0636,28
1.3534,1.4072,0.1469,0.1246,1.497,0.0635,0.1595,0.1274,0.086,26
1.4534,1.4015,0.1084,0.0361,1.5325,0.0455,0.1625,0.1926,0.1149,30
1.5534,1.5313,0.0051,-0.0251,1.544,0.03,0.165,0.1922,0.1868,31
1.6534,1.4162,0.1942,0.09,1.5295,0.025,0.163,0.2163,0.0964,32
1.7534,1.4428,0.1129,0.0968,1.4975,0.029,0.165,0.1212,0.0932,28
1.8534,1.3624,0.1163,0.1017,1.463,0.038,0.17,0.1447,0.0805,29
1.9534,1.4038,0.0808,-0.0886,1.4305,0.052,0.1805,0.272,0.114,32
2.0534,1.4564,0.0781,0.1489,1.4105,0.0645,0.196,0.0672,0.0607,24
2.1534,1.4291,0.1161,-0.0111,1.401,0.0735,0.2175,0.2342,0.0812,28
2.2534,1.4464,0.1069,0.1922,1.4,0.081,0.247,0.0763,0.1026,29
2.3534,1.4325,0.0765,0.0393,1.4025,0.086,0.2845,0.2472,0.0799,30
2.4534,1.4869,0.1025,0.2084,1.407,0.092,0.332,0.1475,0.0868,31
2.5534,1.526,-0.0193,0.2117,1.412,0.096,0.385,0.2373,0.0952,25
2.6534,1.5084,0.1017,0.2292,1.414,0.101,0.439,0.23,0.0446,24
2.7534,1.5703,0.0184,0.2091,1.415,0.106,0.499,0.3403,0.0969,29
2.8534,1.5231,0.056,0.2386,1.416,0.109,0.575,0.357,0.0745,32
2.9534,1.5188,0.0763,0.223,1.417,0.109,0.6575,0.4475,0.0589,30
3.0534,1.4713,0.0427,0.2573,1.418,0.107,0.7365,0.4865,0.0715,28
3.1534,1.4971,0.0403,0.1945,1.418,0.104,0.811,0.6248,0.0704,24
3.2534,1.4793,0.0126,0.1787,1.419,0.101,0.89,0.7193,0.079,31
3.3534,1.4617,0.0223,0.0366,1.4205,0.097,0.9735,0.9408,0.0714,28
3.4534,1.3887,0.1017,0.1171,1.422,0.0935,1.0445,0.9281,0.0937,24
3.5534,1.3464,0.087,0.1506,1.422,0.0905,1.1145,0.9669,0.0935,28
3.6534,1.3606,0.1127,0.2603,1.423,0.087,1.193,0.9351,0.0715,26
3.7534,1.3798,0.1189,0.3429,1.423,0.085,1.253,0.9117,0.0691,26
3.8534,1.3659,0.1215,0.3193,1.424,0.082,1.314,0.9972,0.0746,30
3.9534,1.3961,0.1781,0.3426,1.425,0.08,1.369,1.0315,0.0967,29
4.0534,1.3795,0.1365,0.313,1.425,0.079,1.42,1.1094,0.0863,30
4.1534,1.3605,0.1281,0.4382,1.425,0.077,1.4655,1.0306,0.0625,32
4.2534,1.4464,0.073,0.4126,1.423,0.076,1.5,1.0877,0.0908,29
4.3534,1.398,0.2023,0.4877,1.421,0.074,1.5255,1.046,0.1126,28
4.4534,1.3655,0.132,0.6229,1.42,0.074,1.543,0.9235,0.062,27
4.5534,1.343,0.1536,0.4921,1.42,0.076,1.557,1.0705,0.0575,29
4.6534,1.3878,0.2291,0.6915,1.42,0.078,1.5665,0.8885,0.1076,26
4.7534,1.3998,0.1514,0.7349,1.424,0.079,1.573,0.8415,0.072,31
4.8534,1.3945,0.1499,0.7202,1.427,0.08,1.577,0.8602,0.059,23
4.9534,1.4301,0.108,0.788,1.422,0.086,1.576,0.7884,0.0911,30
5.0534,1.4019,0.1046,0.9656,1.419,0.092,1.571,0.6058,0.0496,29
5.1534,1.3928,0.0938,0.886,1.423,0.095,1.568,0.6827,0.0686,29
5.2534,1.4551,0.1265,0.8458,1.427,0.094,1.5645,0.72,0.1883,26
5.3534,1.3988,0.0931,1.1731,1.43,0.095,1.562,0.3901,0.0587,27
5.4534,1.4359,0.0884,1.2081,1.432,0.095,1.56,0.3519,0.0582,31
5.5534,1.4621,0.0241,1.2295,1.433,0.095,1.558,0.3373,0.0888,24
5.6534,1.4351,0.0831,1.2003,1.431,0.095,1.556,0.3559,0.0788,28
5.7534,1.3907,0.1082,1.425,1.43,0.096,1.554,0.1354,0.0603,25
5.8534,1.4515,0.0613,1.3984,1.429,0.096,1.552,0.1591,0.0798,23
5.9534,1.4144,0.0705,1.5411,1.429,0.096,1.5505,0.0308,0.0526,20
6.0534,1.4201,0.0906,1.5161,1.428,0.097,1.548,0.0335,0.0566,30
6.1534,1.4271,0.0628,1.6466,1.428,0.098,1.546,0.1066,0.0561,26
6.2534,1.411,0.0841,1.5323,1.429,0.096,1.544,0.0245,0.0553,29
6.3534,1.4083,0.0437,1.5758,1.43,0.096,1.542,0.0659,0.0706,37
6.4534,1.4722,0.0447,1.5291,1.429,0.097,1.54,0.0688,0.0821,30
6.5534,1.4158,0.082,1.6253,1.43,0.099,1.5395,0.0886,0.0663,28
6.6534,1.4489,0.0786,1.7598,1.43,0.101,1.537,0.2247,0.0323,21
6.7534,1.4204,0.0332,1.7386,1.431,0.102,1.536,0.2142,0.0637,26
6.8534,1.3779,0.0428,1.6386,1.431,0.102,1.534,0.1314,0.0558,26
6.9534,1.4144,0.1074,1.7843,1.431,0.103,1.533,0.2519,0.0577,30
7.0534,1.3868,0.1156,1.723,1.43,0.103,1.531,0.1972,0.0647,28
7.1534,1.4458,0.0825,1.7641,1.429,0.103,1.53,0.2356,0.0844,25
7.2534,1.4038,0.0566,1.7851,1.429,0.1025,1.528,0.2624,0.0692,30
7.3534,1.3823,0.0974,1.8744,1.43,0.102,1.527,0.3507,0.0693,21
