time_s,est_x,est_y,est_z,gt_x,gt_y,gt_z,error_3d_m,rms_residual,n_meas
0.0538,1.2936,-0.0068,0.1606,1.28,0.035,0.08,0.0918,0.0504,47
0.1538,1.2816,0.0021,0.1996,1.28,0.035,0.08,0.124,0.0468,45
0.2538,1.2971,-0.0114,0.1929,1.28,0.035,0.08,0.1233,0.0611,47
0.3538,1.2829,0.0013,0.1661,1.28,0.035,0.08,0.0925,0.0528,46
0.4538,1.2668,0.0071,0.1431,1.28,0.035,0.08,0.0702,0.0493,46
0.5538,1.2853,-0.0123,0.2294,1.28,0.035,0.08,0.1568,0.0603,47
0.6538,1.275,0.0003,0.162,1.281,0.035,0.0935,0.077,0.0458,46
0.7538,1.2659,-0.0103,0.1864,1.332,0.02,0.153,0.08,0.0496,49
0.8538,1.29,-0.0245,0.1988,1.362,-0.002,0.155,0.0872,0.0532,48
0.9538,1.26,-0.0087,0.1659,1.333,0.0,0.155,0.0743,0.0561,45
1.0538,1.3023,-0.0034,0.187,1.278,0.014,0.165,0.0371,0.0499,47
1.1538,1.2844,-0.0177,0.1637,1.233,0.024,0.184,0.0693,0.0641,44
1.2538,1.2879,0.0082,0.1475,1.209,0.033,0.216,0.1073,0.0506,48
1.3538,1.2793,-0.0058,0.1997,1.204,0.048,0.268,0.115,0.0587,47
1.4538,1.2766,0.0009,0.2339,1.208,0.061,0.341,0.1406,0.0613,47
1.5538,1.2252,0.057,0.1267,1.213,0.066,0.434,0.3077,0.0622,48
1.6538,1.3113,-0.004,0.2304,1.22,0.069,0.542,0.3328,0.0588,45
1.7538,1.3385,-0.0025,0.2829,1.229,0.066,0.662,0.4005,0.0466,46
1.8538,1.3605,-0.0406,0.3118,1.2395,0.059,0.7925,0.5056,0.0543,48
1.9538,1.3636,-0.0352,0.2926,1.2465,0.053,0.9285,0.6526,0.0547,48
2.0538,1.3628,-0.0398,0.3095,1.249,0.052,1.059,0.7636,0.0553,47
2.1538,1.3686,-0.0388,0.3405,1.245,0.05,1.179,0.8522,0.0644,47
2.2538,1.3248,-0.0306,0.3099,1.239,0.047,1.283,0.98,0.0456,44
2.3538,1.3082,-0.0158,0.3339,1.237,0.046,1.374,1.0444,0.0464,46
2.4538,1.2478,0.0121,0.2881,1.234,0.047,1.4495,1.162,0.0466,48
2.5538,1.2068,0.0262,0.2304,1.232,0.046,1.506,1.276,0.0483,47
2.6538,1.1598,0.0698,0.1184,1.235,0.042,1.544,1.4279,0.0533,47
2.7538,1.148,0.0588,0.1686,1.238,0.041,1.5665,1.4009,0.0464,48
2.8538,1.1663,0.0274,0.2826,1.237,0.048,1.576,1.2955,0.0496,46
2.9538,1.2011,0.0263,0.3533,1.234,0.055,1.578,1.2254,0.0509,46
3.0538,1.1837,0.043,0.2634,1.232,0.054,1.5775,1.315,0.0432,48
3.1538,1.1615,0.0483,0.3097,1.232,0.052,1.575,1.2673,0.0502,43
3.2538,1.1925,0.056,0.3875,1.234,0.05,1.57,1.1832,0.0509,49
3.3538,1.1685,0.0762,0.3446,1.231,0.05,1.562,1.2193,0.047,47
3.4538,1.1893,0.036,0.4554,1.215,0.056,1.532,1.0771,0.0474,48
3.5538,1.1882,0.0622,0.4611,1.205,0.08,1.505,1.0442,0.0566,47
3.6538,1.1972,0.0466,0.5659,1.203,0.115,1.4765,0.9131,0.0374,48
3.7538,1.1956,0.0504,0.6451,1.1985,0.1595,1.445,0.8074,0.0412,46
3.8538,1.2155,0.0432,0.6983,1.187,0.213,1.4145,0.7366,0.0564,46
3.9538,1.2168,0.051,0.7591,1.163,0.27,1.385,0.6653,0.0502,49
4.0538,1.2163,0.0538,0.8223,1.13,0.335,1.351,0.6051,0.059,48
4.1538,1.2413,0.0544,0.9066,1.108,0.3825,1.3265,0.5493,0.0472,48
4.2538,1.2369,0.0389,0.995,1.0805,0.4335,1.309,0.5279,0.0525,48
4.3538,1.2446,0.0444,1.031,1.0465,0.4825,1.295,0.5485,0.0457,48
4.4538,1.2651,0.0429,1.0531,1.0045,0.526,1.285,0.5959,0.0579,48
4.5538,1.2663,0.0505,1.1526,0.958,0.571,1.279,0.618,0.0499,47
4.6538,1.2552,0.0475,1.1974,0.914,0.6125,1.276,0.6647,0.0519,48
4.7538,1.2549,0.0256,1.2647,0.871,0.65,1.275,0.7331,0.0538,47
4.8538,1.253,0.0302,1.2673,0.813,0.691,1.279,0.794,0.0602,48
4.9538,1.2426,0.0362,1.3362,0.7635,0.7225,1.287,0.8384,0.053,48
5.0538,1.252,0.0357,1.3377,0.7135,0.7545,1.296,0.8991,0.0565,48
5.1538,1.2657,0.0258,1.4426,0.66,0.7865,1.3075,0.9817,0.0585,48
5.2538,1.2423,0.0361,1.4646,0.6035,0.8195,1.3235,1.0207,0.0631,48
5.3538,1.2394,0.033,1.5349,0.5445,0.8555,1.346,1.0932,0.0625,48
5.4538,1.2511,0.0216,1.5528,0.482,0.893,1.371,1.1764,0.0615,47
5.5538,1.2407,0.0328,1.6136,0.419,0.926,1.3945,1.2333,0.0602,48
5.6538,1.259,0.0253,1.6334,0.3525,0.96,1.4185,1.3197,0.0548,48
5.7538,1.2634,0.0266,1.6556,0.284,0.99,1.444,1.39,0.0555,47
5.8538,1.2844,0.031,1.7002,0.218,1.014,1.469,1.4687,0.0598,47
5.9538,1.2694,0.0228,1.7394,0.153,1.035,1.498,1.5262,0.057,47
6.0538,1.2522,0.0304,1.7705,0.09,1.056,1.526,1.5692,0.0556,47
6.1538,1.2644,0.0359,1.7892,0.025,1.076,1.552,1.6353,0.053,47
6.2538,1.2651,0.0337,1.7926,-0.041,1.099,1.578,1.6991,0.0632,47
6.3538,1.2803,0.0301,1.84,-0.1115,1.121,1.6,1.7846,0.0486,48
6.4538,1.2584,0.027,1.8335,-0.183,1.139,1.624,1.8325,0.0504,49
6.5538,1.2633,0.0416,1.821,-0.2545,1.158,1.6455,1.8924,0.0581,48
6.6538,1.2644,0.0367,1.8305,-0.326,1.178,1.666,1.9644,0.0549,48
6.7538,1.2684,0.0369,1.8396,-0.3925,1.1955,1.682,2.0312,0.0522,48
6.8538,1.245,0.0481,1.7789,-0.4565,1.211,1.696,2.0626,0.055,48
6.9538,1.274,0.0388,1.8022,-0.52,1.223,1.706,2.1517,0.0559,47
7.0538,1.2335,0.0504,1.7739,-0.583,1.231,1.711,2.1673,0.0458,47
7.1538,1.2694,0.0315,1.8738,-0.6485,1.243,1.713,2.2742,0.0483,48
7.2538,1.2673,0.0504,1.7955,-0.7125,1.258,1.712,2.3205,0.0509,48
7.3538,1.2649,0.0344,1.8095,-0.7725,1.267,1.708,2.3834,0.0531,48
7.4538,1.2701,0.0376,1.8009,-0.826,1.271,1.699,2.4342,0.0527,48
7.5538,1.2616,0.0467,1.7986,-0.875,1.273,1.686,2.4661,0.0522,48
7.6538,1.2525,0.0339,1.8103,-0.9235,1.27,1.6695,2.5065,0.0509,48
7.7538,1.2586,0.0451,1.7787,-0.9735,1.266,1.653,2.5473,0.0613,48
7.8538,1.2615,0.0432,1.7716,-1.023,1.263,1.634,2.5934,0.0583,47
7.9538,1.2518,0.0309,1.7679,-1.0645,1.26,1.6105,2.627,0.0523,48
8.0538,1.2469,0.0491,1.7042,-1.115,1.253,1.573,2.6543,0.0529,49
8.1538,1.2609,0.0393,1.7295,-1.144,1.24,1.543,2.6945,0.0479,45
8.2538,1.2544,0.0429,1.7374,-1.167,1.22,1.514,2.7017,0.054,47
8.3538,1.246,0.0622,1.6715,-1.1925,1.2,1.4855,2.6973,0.0617,48
8.4538,1.2387,0.0734,1.6612,-1.2215,1.183,1.4575,2.7066,0.0472,48
8.5538,1.2212,0.0961,1.6372,-1.247,1.1655,1.427,2.6982,0.0505,48
8.6538,1.2294,0.1279,1.6267,-1.2635,1.1425,1.3995,2.701,0.0577,48
8.7538,1.2226,0.147,1.6186,-1.273,1.113,1.373,2.6873,0.0607,47
8.8538,1.2207,0.144,1.6151,-1.284,1.0845,1.3425,2.6893,0.0567,48
8.9538,1.2103,0.1778,1.621,-1.299,1.065,1.312,2.6794,0.0567,49
9.0538,1.1958,0.1969,1.559,-1.307,1.0435,1.2875,2.6561,0.0597,48
9.1538,1.1711,0.2378,1.5531,-1.304,1.014,1.27,2.6094,0.0558,48
9.2538,1.1495,0.2641,1.5955,-1.3005,0.9825,1.251,2.5763,0.0566,46
9.3538,1.1538,0.2763,1.5444,-1.297,0.9545,1.235,2.5617,0.0616,48
9.4538,1.1507,0.286,1.5478,-1.288,0.928,1.2225,2.5426,0.0467,48
9.5538,1.1259,0.31,1.4987,-1.272,0.8955,1.21,2.4852,0.0525,46
9.6538,1.1216,0.3518,1.521,-1.252,0.864,1.202,2.4491,0.0539,47
9.7538,1.0927,0.3624,1.5102,-1.232,0.831,1.197,2.3921,0.0628,49
9.8538,1.0967,0.3759,1.5196,-1.211,0.7975,1.195,2.3683,0.059,48
9.9538,1.0809,0.4134,1.4695,-1.184,0.767,1.199,2.3083,0.0495,47
10.0538,1.0857,0.4256,1.4966,-1.1485,0.7345,1.208,2.2738,0.0577,48
10.1538,1.0482,0.4581,1.4909,-1.1095,0.6965,1.22,2.1877,0.0597,48
10.2538,1.0473,0.4826,1.5221,-1.0685,0.6565,1.233,2.1425,0.0584,48
10.3538,1.0214,0.4951,1.4789,-1.0235,0.6125,1.2485,2.0612,0.0567,46
10.4538,1.0107,0.5127,1.4989,-0.9825,0.5725,1.265,2.0078,0.0503,48
