time_s,est_x,est_y,est_z,gt_x,gt_y,gt_z,error_3d_m,rms_residual,n_meas
0.0512,1.4572,0.157,0.2154,1.494,0.085,0.086,0.1526,0.0722,32
0.1512,1.5066,0.181,0.1781,1.494,0.085,0.086,0.1337,0.0668,32
0.2512,1.4928,0.1126,0.1951,1.494,0.085,0.086,0.1126,0.072,31
0.3512,1.508,0.1181,0.0383,1.494,0.085,0.086,0.0598,0.0873,30
0.4512,1.511,0.1269,0.0827,1.494,0.085,0.086,0.0453,0.0931,32
0.5512,1.4545,0.1241,0.0767,1.494,0.085,0.086,0.0564,0.0789,26
0.6512,1.4677,0.1299,0.175,1.494,0.085,0.086,0.1031,0.0826,30
0.7512,1.4931,0.1427,0.121,1.494,0.085,0.086,0.0675,0.077,28
0.8512,1.4724,0.1249,0.1431,1.494,0.085,0.086,0.0729,0.0781,28
0.9512,1.3928,0.1655,0.2033,1.493,0.086,0.089,0.1715,0.1371,21
1.0512,1.4643,0.1405,0.1873,1.514,0.085,0.128,0.0952,0.0853,31
1.1512,1.4561,0.1149,0.1246,1.5555,0.0705,0.16,0.1145,0.1012,28
1.2512,1.4972,0.1467,0.1481,1.584,0.05,0.16,0.1306,0.0916,29
1.3512,1.6114,0.03,0.3235,1.591,0.036,0.164,0.1609,0.0872,25
1.4512,0.9123,-0.4229,1.7627,1.583,0.031,0.165,1.7912,1.2348,23
1.5512,1.4841,0.1283,0.1524,1.562,0.035,0.166,0.1223,0.087,29
1.6512,1.528,0.1202,0.2519,1.532,0.0495,0.171,0.1075,0.0667,32
1.7512,1.5891,0.1335,0.2051,1.504,0.066,0.182,0.1111,0.0562,31
1.8512,1.578,0.0732,0.2832,1.484,0.076,0.196,0.1282,0.0454,27
1.9512,1.5831,0.0584,0.1545,1.4725,0.083,0.2145,0.1282,0.0695,24
2.0512,1.5794,0.0648,0.217,1.465,0.089,0.238,0.1188,0.0562,29
2.1512,1.5312,0.0663,0.3444,1.462,0.095,0.272,0.1041,0.0715,30
2.2512,1.5246,0.0527,0.2159,1.4615,0.0985,0.3105,0.1226,0.0688,26
2.3512,1.5033,0.1537,0.1483,1.463,0.1,0.351,0.2135,0.0949,23
2.4512,1.7413,0.0821,1.0702,1.464,0.103,0.398,0.7274,1.3156,28
2.5512,1.447,0.1402,0.1824,1.465,0.105,0.458,0.2784,0.0879,29
2.6512,1.4697,0.1304,0.2278,1.468,0.105,0.52,0.2933,0.0679,20
2.7512,1.4109,0.1661,0.3275,1.471,0.103,0.577,0.2643,0.0572,26
2.8512,1.4069,0.0772,0.2008,1.4745,0.099,0.6545,0.4592,0.097,32
2.9512,1.3777,0.1106,0.2562,1.476,0.094,0.735,0.489,0.0799,27
